Robot,Embodiment,Mobility,Total number of dof,Manipulator type,DoF Manipulator,Height,Length,Width,Diameter,Weight,Shell material type,Color pallete,Applications,Target user group,Commercially available,Social Software Capabilities,Sensors,Interaction modalities,Face,Software Extension Capability,total number of associated papers,year,robot number,modality number
NAO V6,['humanoid'],fully-mobile,25,functional,12,574,311,275,,5.48,"['hard', 'full', 'undressed']","['white', 'grey']","['education', 'entertainment', 'service', 'healthcare']","['general public', 'research groups']",available ,"['preprogrammed behaviors', 'object recognition', 'face recognition', 'speech recognition', 'speech synthesis']","['camera', 'microphone', 'force', 'ultrasonic', 'touch', 'bumper']","['speech', 'gesture', 'body movement', 'head movement', 'lights']",['LED features'],"interface available, support ROS",67,2004,11,5
Pepper,['humanoid'],fully-mobile,19,functional,10,1200,425,485,,28,"['hard', 'full', 'undressed']","['white', 'grey']","['service', 'entertainment']",['general public'],available ,"['preprogrammed behaviors', 'object recognition', 'speech recognition', 'speech synthesis', 'sound localization', 'emotion recognition', 'face recognition']","['camera', 'depth camera', 'microphone', 'touch', 'ultrasonic', 'laser', 'bumper']","['speech', 'tactile', 'touch screen', 'body movement', 'gesture', 'head movement', 'lights']",['LED features'],"interface available, support ROS",29,2014,23,7
Robovie,['humanoid'],fully-mobile,18,gesture,8,1200,,,400,-1,"['hard', 'full', 'undressed']","['black', 'white']","['service', 'entertainment']",['general public'],used to be available,"['autonomous navigation', 'speech recognition', 'speech synthesis', 'preprogrammed behaviors']","['touch', 'laser', 'microphone', 'ultrasonic']","['tactile', 'body movement', 'head movement', 'gesture', 'speech']",['partly-actuated'],not mentioned ,27,2002,4,5
AIBO,['animal-like'],fully-mobile,12,n/a,0,180,293,305,,2.2,"['hard', 'full', 'undressed']","['grey', 'black']","['education', 'healthcare', 'entertainment']","['children', 'general public']",available,"['autonomous navigation', 'speech recognition', 'sound localization', 'object recognition', 'learning abilities', 'preprogrammed behaviors', 'face recognition', 'sound cues generation']","['camera', 'microphone']","['speech', 'gesture', 'body movement']","['screen', 'partly-actuated']",support ROS,10,1999,1,3
PeopleBot ,"['mechanoid', 'abstract']",fully-mobile,8,n/a,0,1240,470,380,,21,"['hard', 'full', 'undressed']","['grey', 'black']","['service', 'telepresence']","['general public', 'research groups']",available ,"['speech synthesis', 'speech recognition', 'object recognition', 'autonomous navigation']","['ultrasonic', 'microphone', 'IR']","['speech', 'body movement']",['x'],not mentioned ,9,2000,2,2
iCub,['hybrid'],fully-mobile,50,functional,32,1040,,,,22,"['hard', 'partial', 'undressed']","['white', 'grey', 'metallic']",['research'],['research groups'],available ,"['autonomous navigation', 'speech recognition', 'face recognition', 'pose tracking', 'eye tracking', 'emotion recognition', 'speech synthesis', 'object recognition', 'teleoperation', 'learning abilities', 'preprogrammed behaviors', 'sound localization', 'gesture recognition', 'compliant actuation', 'WoZ']","['camera', 'microphone', 'force', 'touch']","['tactile', 'speech', 'gesture', 'body movement', 'head movement', 'lights']","['partly-actuated', 'LED features']",support YARP,9,2004,11,6
Baxter,['humanoid'],on-spot mobile,16,functional,14,,813,914,,74.84,"['hard', 'full', 'undressed']","['red', 'black']",['service'],['corporations'],used to be available ,"['compliant actuation', 'preprogrammed behaviors']","['camera', 'ultrasonic', 'temperature']","['touch screen', 'tactile']",['screen'],support ROS,8,2011,22,2
Roomba ,['mechanoid'],fully-mobile,3,n/a,0,94,,,340,3.4,"['hard', 'full', 'undressed']",['black'],['service'],['general public'],available ,['preprogrammed behaviors'],"['IR', 'bumper']","['body movement', 'sound']",['x'],not mentioned ,7,2002,4,2
Keepon,['biomimetic'],on-spot mobile,3,n/a,0,275,,,,1,"['soft', 'full', 'undressed']","['yellow', 'black']","['healthcare', 'research']","['children', 'general public']",used to be available,"['speech recognition', 'preprogrammed behaviors']","['camera', 'microphone']",['body movement'],['static'],interface available ,7,2003,7,1
Paro,['animal-like'],on-spot mobile,7,gesture,2,160,570,350,,2.7,"['fabric', 'full', 'undressed']",['white'],"['healthcare', 'service', 'entertainment']",['children'],available ,"['preprogrammed behaviors', 'sound localization', 'speech recognition']","['touch', 'lights', 'microphone']","['body movement', 'tactile', 'sound']",['partly-actuated'],not mentioned ,7,2004,11,3
iCat,['animal-like'],on-spot mobile,13,n/a,0,380,,,,-1,"['hard', 'full', 'undressed']",['yellow'],['research'],['research groups'],available ,"['face recognition', 'speech recognition']","['microphone', 'camera', 'touch']","['tactile', 'speech', 'facial expression', 'eye movement']",['fully-actuated'],library/API available,7,2005,20,4
ZENO,"['humanoid', 'android']",fully-mobile,36,gesture,12,635,,,,6.5,"['hard', 'soft', 'full', 'dressed']",['variable skin tones'],['research'],['research groups'],available ,"['speech recognition', 'speech synthesis', 'face recognition', 'object recognition']","['camera', 'force', 'IR', 'bumper', 'microphone']","['body movement', 'gesture', 'head movement', 'eye movement', 'speech']",['fully-actuated'],"library/API available, support ROS",7,2007,14,5
Flobi,['humanoid'],on-spot mobile,18,n/a,0,280,190,220,,-1,"['hard', 'full', 'dressed']","['light skin tone', 'brown', 'red']",['research'],"['children', 'general public']",not available,"['speech recognition', 'speech synthesis', 'object recognition', 'WoZ']","['depth camera', 'microphone']","['facial expression', 'speech']",['fully-actuated'],not mentioned ,7,2010,27,2
Sota,['humanoid'],on-spot mobile,8,gesture,5,280,160,140,,0.8,"['hard', 'full', 'undressed']","['white', 'blue', 'orange']","['research', 'entertainment', 'service']","['research groups', 'general public']",available ,"['speech recognition', 'preprogrammed behaviors', 'speech synthesis']","['camera', 'microphone']","['speech', 'gesture', 'lights']",['LED features'],interface available ,7,2016,25,3
Pearl,['hybrid'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']","['metallic', 'black']",['healthcare'],['elderly'],not available,"['autonomous navigation', 'speech recognition', 'speech synthesis', 'face recognition', 'teleoperation', 'learning abilities']","['laser', 'ultrasonic', 'microphone', 'touch', 'depth camera']","['body movement', 'gesture', 'screen', 'speech']",['fully-actuated'],not mentioned ,6,2002,4,4
PLEO,['animal-like'],fully-mobile,14,n/a,0,,508,127,,1.6,"['soft', 'full', 'undressed']",['variable'],['entertainment'],['children'],available ,['preprogrammed behaviors'],"['camera', 'IR', 'temperature', 'microphone', 'touch']","['body movement', 'sound', 'tactile']",['static'],library/API available,5,2006,19,3
Bioloid,"['hybrid', 'animal-like']",fully-mobile,18,gesture,6,397,190,100,,1.7,"['hard', 'partial', 'undressed']",['grey'],"['education', 'entertainment']",['children'],available,['preprogrammed behaviors'],"['ultrasonic', 'IR']","['body movement', 'gesture']",['x'],library/API available,5,2007,14,2
PR2,['hybrid'],fully-mobile,20,functional,16,1650,668,668,,226.8,"['hard', 'full', 'undressed']",['grey'],['research'],['research groups'],available ,"['autonomous navigation', 'face recognition', 'pose tracking', 'object recognition', 'teleoperation', 'learning abilities', 'preprogrammed behaviors']","['depth camera', 'laser', 'camera', 'force']","['body movement', 'gesture', 'head movement']",['LED features'],support ROS,5,2010,27,3
Beam Pro,['abstract'],fully-mobile,,n/a,0,660,508,1587,,-1,"['hard', 'full', 'undressed']",['grey'],['telepresence'],"['corporations', 'children', 'patients']",available,['teleoperation'],"['microphone', 'camera', 'laser']",['touch screen'],['screen'],support ROS,5,2012,22,1
Tega,['biomimetic'],on-spot mobile,5,gesture,0,,,,,6,"['soft', 'hard', 'full', 'undressed']","['red', 'blue']","['entertainment', 'research']",['children'],not available ,['teleoperation'],"['camera', 'microphone']","['facial expression', 'tactile', 'body movement', 'gesture', 'speech']","['screen', 'static']",interface available ,5,2016,25,5
Maggie,['humanoid'],fully-mobile,4,gesture,2,1350,,,,-1,"['hard', 'full', 'undressed']","['white', 'blue']",['research'],['research groups'],not available,"['speech recognition', 'speech synthesis', 'object recognition']","['touch', 'camera', 'depth camera', 'laser', 'bumper']","['touch screen', 'speech', 'body movement', 'gesture']",['LED features'],support ROS,4,2005,20,4
Wakamaru,['humanoid'],fully-mobile,13,gesture,8,1000,,,450,30,"['hard', 'full', 'undressed']",['yellow'],['service'],['general public'],not available ,"['speech recognition', 'face recognition', 'autonomous navigation', 'speech synthesis']","['camera', 'ultrasonic', 'IR', 'microphone']","['body movement', 'head movement', 'gesture', 'speech']",['static'],not mentioned ,4,2005,20,4
FACE,['android'],on-spot mobile,,gesture,-1,,,,,-1,"['soft', 'full', 'dressed']",['light skin tone'],['healthcare'],['children'],not available,"['face recognition', 'emotion recognition', 'eye tracking']","['touch', 'camera', 'IR']","['touch', 'gesture', 'eye movement']",['fully-actuated'],not mentioned ,4,2005,20,3
Survivor Buddy Rescue Robot,['mechanoid'],fully-mobile,6,n/a,0,140,,,95,1.72,"['hard', 'partial', 'undressed']","['black', 'metallic']",['research'],['research groups'],not available ,"['speech synthesis', 'autonomous navigation', 'teleoperation']","['microphone', 'camera']","['body movement', 'speech', 'screen']",['screen'],not mentioned ,4,2007,14,3
Kobian,"['humanoid', 'hybrid']",fully-mobile,65,gesture,22,1400,,550,,62,"['hard', 'partial', 'undressed']","['white', 'metallic']",['research'],['general public'],not available,"['face recognition', 'object recognition', 'autonomous navigation']","['camera', 'microphone', 'force']","['tactile', 'body movement', 'gesture', 'facial expression']",['fully-actuated'],not mentioned,4,2007,14,4
IROBIQ,['humanoid'],fully-mobile,4,gesture,2,450,320,320,,7,"['hard', 'full', 'undressed']",['white'],"['service', 'healthcare']",['elderly'],available ,"['autonomous navigation', 'object recognition', 'speech recognition', 'speech synthesis']","['camera', 'microphone', 'ir', 'touch', 'ultrasonic', 'bumper']","['speech', 'gesture', 'body movement', 'head movement', 'lights', 'screen']",['back-projected'],library/API available,4,2008,10,6
SnackBot,['humanoid'],fully-mobile,,functional,-1,1524,,,,-1,"['hard', 'full', 'undressed']","['white', 'grey', 'orange']","['research', 'service']",['research groups'],not available,"['speech recognition', 'autonomous navigation']","['bumper', 'ultrasonic', 'laser', 'microphone', 'depth camera']","['body movement', 'head movement', 'lights', 'sound']",['LED features'],not mentioned ,4,2009,22,4
HRP-2,['humanoid'],fully-mobile,30,functional,14,1539,355,621,,58,"['hard', 'full', 'undressed']","['metallic', 'blue', 'yellow']","['service', 'healthcare', 'education', 'research', 'entertainment']",['general public'],available ,"['autonomous navigation', 'object recognition', 'speech recognition']","['camera', 'force']","['speech', 'gesture']",['static'],support ROS,3,1998,4,2
Kompai,['humanoid'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']",['healthcare'],"['general public', 'research groups']",available ,"['autonomous navigation', 'preprogrammed behaviors', 'speech recognition']","['microphone', 'camera', 'ultrasonic']","['touch screen', 'body movement']",['static'],interface available ,3,2009,22,2
